place,title,time,pay,date
서울 동대문,미스사이공 장안점,시간협의,"시급 10,000원",2시간전
충남 천안시,미스사이공 망향휴게소점(하행),09:00~21:00,"월급 2,500,000원",3시간전
경기 화성시,미스사이공 매송휴게소점(하행),09:00~21:00,"시급 10,000원",3시간전
인천 계양구,미스사이공 인천 계양구청점,시간협의,"시급 9,200원",4시간전
경기 부천시,미스사이공 부천 상동점,11:00~17:00,"시급 9,160원",4시간전
경기 안양시,미스사이공 안양 평촌학원가점,16:00~21:00,"시급 10,000원",01/12
인천 서구,미스사이공 루원시티점,시간협의,"시급 10,000원",01/10
경기 안양시,미스사이공 안양 평촌학원가점,11:30~16:00,"시급 10,000원",01/08
부산 해운대,미스사이공 해수욕장점,시간협의,"시급 9,500원",01/06
경기 화성시,미스사이공 수원대점,18:00~21:00,"시급 9,160원",01/04
