14:06:38
2022-01-18
31건
index,place,title,time,pay,date
1,전북 익산시,에그드랍 익산영등점,시간협의,"시급 9,160원",55분전
2,부산 수영구,에그드랍 부산수영점,시간협의,"시급 9,160원",2시간전
3,경기 수원시,에그드랍 앨리웨이광교점,17:00~22:30,"시급 9,500원",4시간전
4,경기 수원시,에그드랍 앨리웨이광교점,17:00~22:30,"시급 9,500원",4시간전
5,경기 수원시,에그드랍 앨리웨이광교점,17:00~22:30,"시급 9,500원",4시간전
6,경기 수원시,에그드랍 앨리웨이광교점,17:00~22:30,"시급 9,500원",4시간전
7,경기 수원시,에그드랍 앨리웨이광교점,17:00~22:30,"시급 9,500원",5시간전
8,경기 부천시,에그드랍 부천시청점,18:30~22:30,"시급 9,160원",6시간전
9,경기 화성시,에그드랍 동탄호수점,16:00~20:30,"시급 9,500원",7시간전
10,서울 송파구,에그드랍 석촌호수점,08:00~15:30,"시급 9,160원",21시간전
11,경기 성남시,에그드랍 판교역점,11:00~14:00,"시급 9,160원",01/17
12,경기 안산시,에그드랍 안산고잔점,시간협의,"시급 9,160원",01/17
13,경기 화성시,에그드랍 동탄나루마을점,시간협의,"시급 9,160원",01/16
14,경기 용인시,에그드랍 용인보정점,10:00~15:00,"시급 9,160원",01/16
15,전북 전주시,에그드랍 전주에코시티점,09:00~14:00,"시급 9,160원",01/13
16,경기 화성시,에그드랍 동탄역점,시간협의,"시급 9,160원",01/10
17,전북 익산시,에그드랍 익산영등점,시간협의,"시급 9,160원",01/09
18,경기 용인시,에그드랍 용인역북점,시간협의,"시급 9,200원",01/09
19,대전 서구,에그드랍 대전관저점,09:30~16:00,"시급 9,160원",01/08
20,서울 송파구,에그드랍 석촌호수점,12:00~19:30,"시급 9,160원",01/08
21,서울 송파구,에그드랍 석촌호수점,08:00~15:30,"시급 9,160원",01/08
22,서울 송파구,에그드랍 석촌호수점,12:00~19:30,"시급 9,160원",01/08
23,서울 송파구,에그드랍 석촌호수점,08:00~15:30,"시급 9,160원",01/08
24,경기 화성시,에그드랍 동탄영천점,09:00~02:00,"시급 9,160원",01/07
25,서울 강남구,에그드랍 양재역점,시간협의,"시급 9,160원",01/06
26,경기 안산시,에그드랍 안산고잔점,시간협의,"월급 2,200,000원",01/05
27,인천 전체,에그드랍 현대아울렛송도점,시간협의,"시급 9,160원",01/02
28,인천 전체,에그드랍 현대아울렛송도점,시간협의,"시급 9,160원",01/02
29,인천 전체,에그드랍 현대아울렛송도점,시간협의,"시급 9,160원",01/02
30,인천 전체,에그드랍 현대아울렛송도점,시간협의,"시급 9,160원",01/02
31,인천 전체,에그드랍 현대아울렛송도점,시간협의,"시급 9,160원",01/02
