14:14:19
2022-01-18
53건
index,place,title,time,pay,date
1,인천 서구,호식이두마리치킨 인천연희점,17:00~24:00,"시급 9,160원",1시간전
2,인천 서구,호식이두마리치킨 인천연희점,17:00~24:00,"시급 9,160원",1시간전
3,인천 서구,호식이두마리치킨 인천연희점,17:00~24:00,"시급 9,160원",2시간전
4,서울 성북구,호식이두마리치킨 시흥1호점,18:00~24:00,"월급 1,500,000원",2시간전
5,제주 제주시,호식이두마리치킨 도남점,17:00~22:00,"시급 10,000원",2시간전
6,경기 구리시,호식이두마리치킨 별내2호점,18:00~23:00,"시급 9,500원",2시간전
7,경기 남양주,호식이두마리치킨 별내2호점,18:00~23:00,"시급 9,500원",2시간전
8,경기 남양주,호식이두마리치킨 별내2호점,18:00~23:00,"시급 9,500원",2시간전
9,서울 성북구,호식이두마리치킨 길음점,18:00~24:00,"월급 1,500,000원",5시간전
10,서울 성북구,호식이두마리치킨 길음점,18:00~24:00,"월급 1,500,000원",5시간전
11,서울 성북구,호식이두마리치킨 길음점,18:00~24:00,"월급 1,500,000원",5시간전
12,서울 성북구,호식이두마리치킨 길음점,18:00~24:00,"월급 1,500,000원",5시간전
13,부산 부산진,호식이두마리치킨 당감점,11:30~11:30,"월급 2,500,000원",5시간전
14,제주 제주시,호식이두마리치킨 삼화점,17:00~23:00,"시급 9,500원",5시간전
15,제주 제주시,호식이두마리치킨 삼화점,17:00~23:00,"시급 9,500원",5시간전
16,제주 제주시,호식이두마리치킨 삼화점,17:00~23:00,"시급 9,500원",5시간전
17,제주 제주시,호식이두마리치킨 삼화점,17:00~23:00,"시급 9,500원",5시간전
18,인천 부평구,호식이두마리치킨 산곡1호,12:00~24:00,"시급 10,000원",6시간전
19,제주 제주시,호식이두마리치킨 도남점,18:00~22:00,"시급 10,000원",7시간전
20,부산 연제구,호식이두마리치킨 연산1호점,17:00~24:00,"시급 9,160원",8시간전
21,인천 부평구,호식이두마리치킨 산곡1호,12:00~24:00,"시급 10,000원",15시간전
22,경기 시흥시,호식이두마리치킨 정왕1호점,05:30~12:00,"시급 9,500원",19시간전
23,대구 동구,호식이두마리치킨 방촌점,17:00~22:00,"시급 12,000원",01/16
24,경기 성남시,호식이두마리치킨 정자점(분당),18:00~22:00,"시급 9,200원",01/16
25,경기 성남시,호식이두마리치킨 정자점(분당),18:00~22:00,"시급 9,200원",01/16
26,경기 성남시,호식이두마리치킨 정자점(분당),18:00~22:00,"시급 9,200원",01/16
27,경기 성남시,호식이두마리치킨 정자점(분당),18:00~22:00,"시급 9,200원",01/16
28,경기 성남시,호식이두마리치킨 정자점(분당),18:00~22:00,"시급 9,200원",01/16
29,부산 부산진,호식이두마리치킨 당감점,시간협의,건별 50원,01/16
30,부산 부산진,호식이두마리치킨 당감점,18:00~22:00,"시급 9,160원",01/16
31,대구 수성구,호식이두마리치킨 대구중동점,19:00~22:00,"시급 9,500원",01/15
32,서울 영등포,호식이두마리치킨 대림점,18:00~03:00,"시급 11,000원",01/15
33,서울 동작구,호식이두마리치킨 대림점,18:00~03:00,"시급 11,000원",01/15
34,서울 영등포,호식이두마리치킨 대림점,18:00~03:00,"시급 11,000원",01/15
35,서울 영등포,호식이두마리치킨 대림점,18:00~03:00,"시급 11,000원",01/15
36,서울 영등포,호식이두마리치킨 대림점,18:00~03:00,"월급 2,500,000원",01/15
37,인천 부평구,호식이두마리치킨 산곡1호,12:00~24:00,"시급 10,000원",01/11
38,세종 종촌동,호식이두마리치킨 종촌점,시간협의,"시급 9,160원",01/11
39,경기 용인시,호식이두마리치킨 신갈점,17:30~22:30,"시급 9,160원",01/10
40,경기 용인시,호식이두마리치킨 신갈점,17:30~10:30,"시급 9,160원",01/10
41,부산 연제구,호식이두마리치킨 연산1호점,17:00~24:00,"시급 9,300원",01/10
42,인천 서구,호식이두마리치킨 인천연희점,17:00~24:00,"시급 9,160원",01/09
43,인천 서구,호식이두마리치킨 인천연희점,17:00~24:00,"시급 9,160원",01/09
44,인천 서구,호식이두마리치킨 묵동점,17:00~24:00,"시급 9,160원",01/09
45,대구 동구,호식이두마리치킨 신천점,시간협의,"시급 9,500원",01/08
46,서울 영등포,호식이두마리치킨 신길1호점,11:00~18:00,"시급 9,300원",01/08
47,서울 영등포,호식이두마리치킨 신길1호점,18:00~00:30,"시급 9,500원",01/08
48,부산 연제구,호식이두마리치킨 연산1호점,시간협의,"시급 9,300원",01/07
49,울산 남구,호식이두마리치킨 울산대현점,17:00~21:00,"시급 9,300원",01/07
50,서울 관악구,호식이두마리치킨 대학점,17:00~03:00,"월급 2,500,000원",01/06
51,서울 관악구,호식이두마리치킨 대학점,17:00~03:00,"월급 2,500,000원",01/03
52,제주 제주시,호식이두마리치킨 삼화점,17:00~23:00,"시급 9,500원",01/03
53,부산 연제구,호식이두마리치킨 연산1호점,시간협의,"시급 9,300원",01/03
